Word	Definition	Example
exacerbate	worsen; embitter	This latest arrest will exacerbate the already existing discontent of the people and enrage them.
exacting	extremely demanding	The colonies rebelled against the exacting financial claims of the mother country.
exalt	raise in rank or dignity; praise	The actor Alec Guinness was exalted to the rank of knighthood by the Queen; he now is known as Sir Alec Guinness.
exasperate	vex	Johnny often exasperates his mother with his pranks.
excerpt	selected passage (written or musical)	The cinematic equivalent of an excerpt from a novel is a clip from a film.
exchequer	treasury	He had been Chancellor of the exchequer before his promotion to the office he now holds.
excise	cut away; cut out	When you excise the dead and dying limbs of a tree, you not only improve its appearance but also enhance its chances of bearing fruit.
excoriate	flay; abrade	These shoes are so ill-fitting that they will excoriate the feet and create blisters.
exculpate	clear from blame	He was exculpated of the crime when the real criminal confessed.
execrable	very bad	The anecdote was in execrable taste and shocked the audience.
execrate	curse; express abhorrence for	The world execrates the memory of Hitler and hopes that genocide will never again be the policy of any nation.
execute	put into effect; carry out	The choreographer wanted to see how well she could execute a pirouette.
exegesis	explanation, especially of biblical passages	I can follow your exegesis of this passage to a limited degree; some of your reasoning eludes me.
exemplary	serving as a model; outstanding	Her exemplary behavior was praised at commencement.
exemplify	show by example; furnish an example	Three-time winner of the Super Bowl, Joe Montana exemplifies the ideal quarterback.
exertion	effort; expenditure of much physical work	The exertion involved in unscrewing the rusty bolt left her exhausted.
exhort	urge	The evangelist will exhort all sinners in his audience to reform.
exhume	dig out of the ground; remove from a grave	Because of the rumor that he had been poisoned, his body was exhumed in order that an autopsy might be performed.
exigency	urgent situation	In this exigency, we must look for aid from our allies.
exiguous	small; minute	Grass grew there, an exiguous outcropping among the rocks.
existential	pertaining to existence; pertaining to the philosophy of existentialism	To the existential philosopher, human reason is inadequate to explain an irrational, meaningless universe.
exodus	departure	The exodus from the hot and stuffy city was particularly noticeable on Friday evenings.
exonerate	acquit; exculpate	I am sure this letter naming the actual culprit will exonerate you.
exorbitant	excessive	The people grumbled at his exorbitant prices but paid them because he had a monopoly.
exorcise	drive our evil spirits	By incantation and prayer, the medicine man sought to exorcise the evil spirits that had taken possession of the young warrior.
exotic	not native; strange	Because of his exotic headdress, he was followed in the streets by small children who laughed at his strange appearance.
expatiate	talk at length	At this time, please give us a brief resume of your work; we shall permit you to expatiate later.
expatriate	exile; someone who has withdrawn from his native land	Henry James was an American expatriate who settled in England.
expedient	suitable; practical; politic	A pragmatic politician, he was guided by what was expedient rather than by what was ethical.
expedite	hasten	We hope you will be able to expedite delivery because of our tight schedule.
expertise	specialized knowledge; expert skill	Although she was knowledgeable in a number of fields, she was hired for her particular expertise in computer programming.
expiate	make amends for (a sin)	He tried to expiate his crimes by a full confession to the authorities.
expletive	interjection; profane oath	The sergeant's remarks were filled with expletives that offended the new recruits.
explicate	explain; interpret; clarify	Harry Levin explicated James Joyce's novels with such clarity that even Finnegan's Wake seemed comprehensible to his students.
explicit	totally clear; definite; outspoken	Don't just hint around that you're dissatisfied: be explicit about what's bugging you.
exploit	deed or action, particularly a brave deed	Raoul Wallenberg was noted for his exploits in rescuing Jews from Hitler's forces.
exploit	make use of, sometimes unjustly	Caesar Chavez fought attempts to exploit migrant farmworkers in California.
expository	explanatory; serving to explain	The mannual that came with my VCR was no masterpiece of expository prose: its explanations were so garbled that I couldn't even figure out how to rewind a tape.
expostulation	protest; remonstrance	Despite the teacher's scoldings and expostulations, the class remained unruly.
exposure	risk, particularly of being exposed to disease or to the elements; unmasking; act of laying	something open Exposure to sun and wind had dried out her hair and weathered her face.
